,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
15,-0.94342726,-0.5961105,-0.9095652,-0.69599926,-0.6351002,0.30144268,-1.1822685,-0.72170407,-0.84255064,-1.133019,-0.59805125,-0.8410366,-0.9742043,-0.89345133,-0.31883493,-1.0777485
16,0.51169866,0.39768162,0.102984555,1.075317,-0.23589437,0.016635643,0.7761989,1.41565,-0.38763198,0.39620906,0.28067142,0.14635211,-0.1462183,-0.084348194,0.083067805,0.08935968
17,0.14017718,-0.37170583,0.03065957,0.75901055,0.67139167,0.4280236,0.9440676,1.161203,-0.22003037,0.43443978,-0.41624656,-0.47076586,0.031207265,-0.6574629,0.7529057,0.051711027
18,-0.3242247,0.0129879,-0.041665412,0.63248795,-0.23589437,0.04828087,-0.39888152,0.8558668,-0.29185963,-0.40663564,-0.08293796,-0.8410366,-0.1462183,-0.35404924,-0.21835926,-0.40007278
19,-0.13846396,-0.4999371,0.21147203,-0.00012500516,2.3045065,-0.6479141,0.32854924,0.95764554,-0.24397345,0.39620906,-0.2041411,0.8868937,0.8000514,-0.05063556,0.8868733,0.69173807
20,-0.63382596,-0.5961105,-0.9818902,0.63248795,-0.59880877,-0.7428498,-0.4548377,-0.314589,-0.9143799,-0.48309705,-0.6889536,0.8251819,0.09034912,-0.9945892,-0.5532782,-0.47537008
21,0.14017718,0.04504571,0.102984555,0.9487945,-0.38106012,0.36473313,0.83215517,0.04163668,-0.5552336,-0.9036348,0.4624761,-0.16220687,-0.02793459,-0.21919872,0.81988955,-0.6636133
22,-0.4171051,0.46179727,0.06682206,0.44270408,-0.453643,0.14321655,-0.06314424,-0.36547837,0.043343596,-0.86540407,1.1290933,-0.34734225,-0.1462183,0.353916,-0.18486735,-0.7389107
23,-0.7267064,-0.43582147,-0.5117778,2.593588,-0.41735157,-0.33146185,0.27259305,0.7031986,-0.7228352,-0.750712,-0.08293796,-0.22391866,-0.1462183,-0.6574629,0.28401917,-0.7389107
24,-0.35518485,-0.5640527,0.06682206,-0.063386306,-0.01814572,-0.55297846,0.1047244,0.49964112,-0.38763198,-0.21548215,0.03826516,-0.16220687,0.7409095,0.4550539,-0.5532782,-0.28712684
25,0.97610056,0.5579707,2.2365716,0.44270408,1.1794719,0.5862497,2.2310605,1.3138711,2.5813107,2.193052,1.310898,2.059418,1.6280373,1.8709843,1.322268,1.8211976
26,-0.20038421,-0.46787927,-0.47561532,0.75901055,0.05443716,-0.2681714,0.72024274,-0.26369962,-0.19608727,0.20505556,-0.77985597,0.14635211,-0.08707645,-0.11806082,-0.11788357,0.051711027
27,-0.0146234585,0.5259129,-0.36712784,-0.00012500516,0.0907286,-0.489688,-0.2869691,-0.8743722,-0.10031492,-0.25371286,-0.113238744,-0.038783275,-0.20536016,-0.21919872,0.35100296,-0.36242414
28,-0.26230446,0.7503176,-0.5841028,0.25292018,-0.41735157,0.6495402,0.38450545,1.5683181,-0.3397458,-0.024328642,0.09886672,-0.038783275,0.031207265,-0.25291133,-0.15137546,-0.13653223
29,0.20209743,0.36562383,0.6092594,1.5181462,-0.59880877,0.90270203,1.1119362,1.822765,0.68980694,0.24328627,0.88668704,0.3314875,0.3860584,0.85960543,-0.5197863,0.5411435
30,-0.7267064,-0.40376365,0.28379703,0.63248795,-0.9254317,-0.7112046,0.72024274,0.2451942,-0.3397458,-0.52132773,-0.62835205,0.14635211,-0.20536016,0.42134127,-0.7542296,-0.5130187
31,-0.0146234585,-0.5961105,-0.5117778,-0.632738,-1.034306,-0.29981664,0.04876819,-0.009252703,-0.84255064,-0.40663564,-0.65865284,-0.8410366,-0.5010694,-0.4214745,-0.8881972,-0.5506674
32,0.9451404,0.94266444,1.0432093,0.75901055,1.034306,0.17486177,0.88811135,0.49964112,0.5940346,0.35797837,0.6442808,0.022928523,0.031207265,1.3990076,1.0543327,0.72938675
33,0.07825692,0.04504571,0.42844698,0.31618148,0.48993444,1.5356065,0.38450545,-0.26369962,-0.07637184,0.51090115,-0.17384031,-0.28563046,0.09034912,-0.05063556,0.1500516,0.42819753
34,0.7903398,0.077103525,1.0432093,-0.5062154,0.30847725,-0.3631071,0.88811135,-0.060142085,0.35460374,0.052132763,-0.26474264,0.5166229,1.0957607,1.0955938,0.9538571,-0.43772143
35,-0.47902533,-0.5961105,-0.40329033,-0.063386306,-0.7076831,-0.6479141,0.38450545,-0.314589,-0.5552336,-0.6360199,-0.53744966,0.022928523,-0.38278574,-0.25291133,-0.41931063,-0.17418088
36,-0.23134434,-0.46787927,0.06682206,-0.18990889,-0.19960292,-0.2681714,0.1047244,0.19430482,-0.3636889,-0.25371286,-0.47684813,0.4549111,0.09034912,0.18535285,-0.21835926,0.12700833
37,-1.1911082,-1.0449198,-1.4158401,-0.7592606,-1.5423862,-1.185883,-1.7418306,-0.41636774,-1.22564,-1.6300181,-1.32527,-1.4581546,-1.506481,-1.2642902,-1.256608,-1.5295323
38,-0.94342726,1.2632425,-0.9818902,-0.2531702,-0.6351002,0.016635643,-1.2382247,-0.67081463,-1.0101522,-1.2859418,0.88668704,-0.5324777,-0.79677874,-0.9608766,-0.21835926,-1.454235
39,1.5024227,0.5259129,0.3199595,-0.3164315,0.56251734,-0.046654813,-0.56675017,-1.2814872,0.6658639,0.31974766,0.06856594,0.14635211,-0.26450202,0.18535285,0.083067805,-0.13653223
40,0.35689804,0.49385506,0.8985594,0.44270408,0.453643,0.016635643,1.6714983,-0.36547837,0.33066064,0.7402854,0.1594683,0.9486055,1.0957607,-0.15177345,0.18354349,1.1058732
